"Name","Start","End","Duration","Notes","Billable"
"A2_Build","1/6/2020 8:26:56 AM","1/6/2020 11:59:48 AM","3:32:52","","No"
"ASC_Meeting","1/6/2020 11:59:48 AM","1/6/2020 12:19:12 PM","0:19:24","","No"
"A2_Build","1/6/2020 12:31:20 PM","1/6/2020 12:59:53 PM","0:28:33","","No"
"OUI_Daily Planning Meeting","1/6/2020 12:59:53 PM","1/6/2020 1:30:22 PM","0:30:29","","Yes"
"A2_Build","1/6/2020 1:30:22 PM","1/6/2020 3:50:40 PM","2:20:18","","No"
"A2_Build","1/6/2020 3:58:11 PM","1/6/2020 4:07:52 PM","0:09:41","","No"
"OUI_5729 - OUI","1/6/2020 4:07:52 PM","1/6/2020 5:15:15 PM","1:07:23","","Yes"
"OUI_5729 - OUI","1/7/2020 8:24:55 AM","1/7/2020 8:39:31 AM","0:14:36","","Yes"
"A2_Build","1/7/2020 8:39:31 AM","1/7/2020 9:02:11 AM","0:22:40","","No"
"OUI_6094 - OUI","1/7/2020 9:02:11 AM","1/7/2020 9:17:44 AM","0:15:33","","Yes"
"OUI_5729 - OUI","1/7/2020 9:17:44 AM","1/7/2020 9:58:57 AM","0:41:13","","Yes"
"OUI_5949 - OUI","1/7/2020 9:58:57 AM","1/7/2020 11:13:29 AM","1:14:32","","Yes"
"A2_Build","1/7/2020 11:13:29 AM","1/7/2020 12:28:54 PM","1:15:25","","No"
"OUI_Operational Support","1/7/2020 12:28:54 PM","1/7/2020 1:13:41 PM","0:44:47","","Yes"
"OUI_6094 - OUI","1/7/2020 1:13:41 PM","1/7/2020 1:44:30 PM","0:30:49","","Yes"
"OUI_6467 - OUI","1/7/2020 1:44:30 PM","1/7/2020 2:13:03 PM","0:28:33","","Yes"
"OUI_5949 - OUI","1/7/2020 2:13:03 PM","1/7/2020 2:22:02 PM","0:08:59","","Yes"
"OUI_6467 - OUI","1/7/2020 2:22:02 PM","1/7/2020 2:29:30 PM","0:07:28","","Yes"
"OUI_6023 - OUI","1/7/2020 2:29:30 PM","1/7/2020 3:40:29 PM","1:10:59","","Yes"
"OUI_Code Review","1/7/2020 3:40:29 PM","1/7/2020 4:00:12 PM","0:19:43","","Yes"
"A2_Build","1/7/2020 4:00:12 PM","1/7/2020 5:04:47 PM","1:04:35","","No"
"OUI_Daily Planning Meeting","1/8/2020 8:27:28 AM","1/8/2020 9:00:34 AM","0:33:06","","Yes"
"A2_Build","1/8/2020 9:00:34 AM","1/8/2020 11:04:52 AM","2:04:18","","No"
"OUI_5949 - OUI","1/8/2020 11:04:52 AM","1/8/2020 2:55:29 PM","3:50:37","","Yes"
"OUI_6094 - OUI","1/8/2020 2:55:29 PM","1/8/2020 3:26:33 PM","0:31:04","","Yes"
"OUI_6073 - OUI","1/8/2020 3:26:33 PM","1/8/2020 3:42:48 PM","0:16:15","","Yes"
"A2_Build","1/8/2020 3:42:48 PM","1/8/2020 5:10:20 PM","1:27:32","","No"
"OUI_Administration","1/9/2020 8:23:30 AM","1/9/2020 8:30:03 AM","0:06:33","","Yes"
"OUI_Daily Planning Meeting","1/9/2020 8:30:03 AM","1/9/2020 9:01:10 AM","0:31:07","","Yes"
"OUI_6551 - OUI","1/9/2020 9:01:10 AM","1/9/2020 9:30:25 AM","0:29:15","","Yes"
"OUI_Daily Planning Meeting","1/9/2020 9:30:25 AM","1/9/2020 10:56:40 AM","1:26:15","","No"
"A2_Build","1/9/2020 10:56:40 AM","1/9/2020 12:25:18 PM","1:28:38","","No"
"OUI_6551 - OUI","1/9/2020 12:25:18 PM","1/9/2020 1:13:23 PM","0:48:05","","Yes"
"OUI_5949 - OUI","1/9/2020 1:13:23 PM","1/9/2020 1:30:14 PM","0:16:51","","Yes"
"OUI_6073 - OUI","1/9/2020 1:30:14 PM","1/9/2020 2:56:26 PM","1:26:12","","Yes"
"A2_Build","1/9/2020 2:56:26 PM","1/9/2020 5:07:49 PM","2:11:23","","No"
"OUI_Administration","1/10/2020 8:27:09 AM","1/10/2020 8:30:50 AM","0:03:41","","Yes"
"OUI_Daily Planning Meeting","1/10/2020 8:30:50 AM","1/10/2020 8:58:05 AM","0:27:15","","No"
"OUI_6073 - OUI","1/10/2020 8:58:05 AM","1/10/2020 9:30:13 AM","0:32:08","","Yes"
"OUI_5949 - OUI","1/10/2020 9:30:13 AM","1/10/2020 11:32:41 AM","2:02:28","","Yes"
"OUI_5949 - OUI","1/10/2020 11:40:18 AM","1/10/2020 12:07:34 PM","0:27:16","","Yes"
"A2_Build","1/10/2020 1:19:03 PM","1/10/2020 5:27:09 PM","4:08:06","","No"
