"Name","Start","End","Duration","Notes","Billable"
"4770","6/26/2019 9:02:14 AM","6/26/2019 9:24:46 AM","0:22:32","","Yes"
"Daily Status Meeting","6/26/2019 8:41:22 AM","6/26/2019 9:02:14 AM","0:20:52","","Yes"
"OUI Admin","6/26/2019 8:35:53 AM","6/26/2019 8:41:22 AM","0:05:29","","No"
"5550","6/25/2019 3:15:11 PM","6/25/2019 4:34:37 PM","1:19:26","","Yes"
"5417","6/25/2019 2:49:06 PM","6/25/2019 3:15:11 PM","0:26:05","","Yes"
"4770","6/25/2019 1:55:17 PM","6/25/2019 2:49:06 PM","0:53:49","","Yes"
"4770","6/25/2019 10:23:56 AM","6/25/2019 12:09:26 PM","1:45:30","","Yes"
"5452","6/25/2019 9:09:53 AM","6/25/2019 10:23:56 AM","1:14:03","","Yes"
"Daily Status Meeting","6/25/2019 8:48:23 AM","6/25/2019 9:09:53 AM","0:21:30","","Yes"
"5452","6/25/2019 8:38:18 AM","6/25/2019 8:48:23 AM","0:10:05","","Yes"
"5452","6/24/2019 12:10:54 PM","6/24/2019 4:54:43 PM","4:43:49","","Yes"
"Update Meeting","6/24/2019 11:59:44 AM","6/24/2019 12:10:54 PM","0:11:10","","No"
"5452","6/24/2019 10:55:19 AM","6/24/2019 11:59:44 AM","1:04:25","","Yes"
"5550","6/24/2019 9:13:07 AM","6/24/2019 10:55:19 AM","1:42:12","","Yes"
"Daily Status Meeting","6/24/2019 8:48:02 AM","6/24/2019 9:13:07 AM","0:25:05","","Yes"
"OUI Admin","6/24/2019 8:34:21 AM","6/24/2019 8:48:02 AM","0:13:41","","No"
"OUI Admin","6/23/2019 11:08:43 PM","6/23/2019 11:31:31 PM","0:22:48","","No"
